bedrooms,price,neighbourhood
2.0,123.0,Aclens
1.3103448275862069,99.5,Affoltern
1.2142857142857142,79.74285714285715,Aigle
1.135135135135135,208.04761904761904,Albisrieden
1.6666666666666667,182.33333333333334,Allaman
1.3132530120481927,109.5047619047619,Alt-Wiedikon
1.1730769230769231,231.7731092436975,Altstetten
1.5,115.5,Anières
2.25,102.5,Apples
,70.0,Arnex-sur-Nyon
2.0,180.0,Arnex-sur-Orbe
2.6,285.3,Arzier-Le Muids
4.0,148.0,Assens
1.7692307692307692,121.84615384615384,Aubonne
1.0,258.8333333333333,Avenches
1.0,69.66666666666667,Avully
2.0,76.66666666666667,Ballaigues
1.0,67.0,Ballens
1.0,55.6,Bardonnex
1.1666666666666667,87.83333333333333,Begnins
1.7857142857142858,113.8125,Bellevue
2.230769230769231,188.8,Belmont-sur-Lausanne
1.1428571428571428,78.88888888888889,Bernex
1.52,122.25925925925925,Bex
1.0,54.0,Bière
1.9259259259259258,154.68965517241378,Blonay
1.75,87.5,Bogis-Bossey
3.0,159.0,Bonvillars
1.0,50.0,Borex
1.0,54.0,Bottens
1.8,174.53488372093022,Bourg-en-Lavaux
3.0,120.0,Bournens
1.0,67.0,Bremblens
2.0,315.0,Buchillon
2.5,115.0,Bullet
1.0,95.0,Bursinel
1.0,67.5,Bursins
1.0,35.0,Burtigny
1.36,91.18518518518519,Bussigny
1.0,105.0,Bussy-Chardonney
1.1194029850746268,103.1590909090909,Carouge
1.5,84.5,Cartigny
2.0,40.0,Champagne
1.3333333333333333,126.66666666666667,Champvent
1.0,64.0,Chancy
2.2,262.54545454545456,Chardonne
1.5,80.0,Chavannes-de-Bogis
4.0,347.5,Chavannes-le-Veyron
1.103448275862069,64.43333333333334,Chavannes-près-Renens
5.0,600.0,Chavannes-sur-Moudon
1.8,66.2,Chavornay
1.8,87.0,Cheseaux-Noréaz
1.75,68.5,Cheseaux-sur-Lausanne
2.25,132.6,Chevroux
1.25,116.15384615384616,Chexbres
2.5,332.5,Chigny
1.0,85.0,Choulex
2.8333333333333335,361.10309278350513,Château-d'Oex
1.6176470588235294,151.39473684210526,Chêne-Bougeries
1.9285714285714286,131.9375,Chêne-Bourg
1.5333333333333334,312.0,City
2.5,230.5,Collex-Bossy
2.1666666666666665,334.42857142857144,Collonge-Bellerive
1.9375,234.95,Cologny
1.8333333333333333,132.84615384615384,Commugny
1.2469536961819658,124.23139931740614,Commune de Genève
4.0,149.5,Concise
1.3333333333333333,146.14285714285714,Confignon
2.375,246.875,Coppet
2.0,160.0,Corbeyrier
1.6,85.0,Corcelles-le-Jorat
1.0,80.0,Corcelles-près-Concise
1.0,146.66666666666666,Corcelles-près-Payerne
1.4615384615384615,120.71428571428571,Corseaux
1.3333333333333333,93.16666666666667,Corsier
1.7727272727272727,127.33333333333333,Corsier-sur-Vevey
1.8333333333333333,75.5,Cossonay
2.75,122.5,Crans-près-Céligny
1.0,125.0,Crassier
1.2142857142857142,57.4,Crissier
1.5,67.0,Cuarnens
1.0,45.0,Cuarny
1.5714285714285714,208.28571428571428,Cudrefin
4.0,200.0,Cugy (Vaud)
1.3333333333333333,98.0,Daillens
1.0,72.5,Dardagny
2.5,151.5,Denens
1.2,75.8,Denges
5.0,271.0,Dompierre (Vaud)
1.5,85.0,Donneloye
1.0,75.0,Duillier
3.0,120.0,Dully
1.0,121.6,Echallens
1.1666666666666667,87.0,Echandens
1.8333333333333333,108.5,Echichens
1.255813953488372,88.625,Ecublens (Vaud)
1.320754716981132,260.75,Enge
1.4375,97.23076923076923,Epalinges
1.0,152.5,Ependes (Vaud)
1.3846153846153846,159.58620689655172,Escher Wyss
1.0,53.5,Essertes
1.0,161.0,Essertines-sur-Rolle
2.090909090909091,159.72727272727272,Etoy
1.6666666666666667,120.5,Eysins
2.25,162.22222222222223,Faoug
1.3823529411764706,153.75,Fluntern
1.0,1403.0,Fontaines-sur-Grandson
2.2,106.4,Forel (Lavaux)
1.8,156.625,Founex
1.2727272727272727,344.3333333333333,Friesenberg
1.2,78.8,Froideville
3.25,332.0,Féchy
1.6,190.4,Genolier
2.0,198.6,Genthod
1.1346153846153846,96.390625,Gewerbeschule
1.0,50.0,Giez
2.0,130.25,Gilly
1.8333333333333333,144.0,Gimel
2.25,269.5,Gingins
1.5,92.0,Givrins
1.6363636363636365,106.29166666666667,Gland
1.0,38.5,Gollion
1.6666666666666667,91.66666666666667,Goumoëns
1.4074074074074074,128.78571428571428,Grand-Saconnex
2.0,95.0,Grandevent
1.0,95.0,Grandson
1.0,150.0,Grens
3.0,287.72477064220186,Gryon
,55.0,Gy
1.3181818181818181,278.15714285714284,Hard
3.6666666666666665,214.0,Hermance
3.0,101.0,Hermenches
1.4827586206896552,121.27027027027027,Hirslanden
1.0,82.14285714285714,Hirzenbach
1.2222222222222223,296.0,Hochschulen
1.434782608695652,120.74074074074075,Hottingen
1.3793103448275863,123.0,Höngg
1.7142857142857142,170.42857142857142,Jongny
2.0,113.0,Jorat-Menthue
1.25,82.6,Jorat-Mézières
1.0,60.0,Jouxtens-Mézery
1.0,70.0,Jussy
1.0,128.8,L'Abbaye
1.0,70.0,L'Isle
1.0,90.0,La Rippe
1.0,88.5,La Sarraz
1.675,133.35714285714286,La Tour-de-Peilz
1.4339622641509433,102.01785714285714,Lancy
1.528301886792453,156.54471544715446,Langstrasse
1.3094302554027506,98.15332771693345,Lausanne
1.5,104.33333333333333,Lavey-Morcles
5.0,900.0,Lavigny
1.5,78.04545454545455,Le Chenit
2.5,137.66666666666666,Le Lieu
1.5625,112.5,Le Mont-sur-Lausanne
1.3333333333333333,73.33333333333333,Le Vaud
1.0,57.5,Leimbach
2.008130081300813,176.06338028169014,Leysin
1.0,66.25,Lignerolle
1.3125,339.0232558139535,Lindenhof
2.0,163.75,Lonay
1.0,48.0,Longirod
2.0,111.0,Lucens
1.0,76.66666666666667,Lully (Vaud)
1.8333333333333333,172.4558823529412,Lutry
1.75,191.5,Maracon
1.0,90.0,Marchissy
1.0,53.0,Mathod
3.0,82.5,Mauborget
2.25,196.5,Meinier
1.0,50.0,Mex (Vaud)
1.125,83.62857142857143,Meyrin
1.6666666666666667,78.33333333333333,Mies
2.0,60.0,Moiry
1.0,215.0,Mollens (Vaud)
1.4285714285714286,196.14285714285714,Mont-sur-Rolle
,55.0,Montagny-près-Yverdon
1.75,78.75,Montanaire
,68.0,Montcherand
1.0,90.0,Montherod
1.0,95.5,Montilliez
2.0,100.8,Montpreveyres
1.7099697885196374,196.075,Montreux
4.0,120.0,Montricher
1.1875,82.09615384615384,Morges
