source,target,value
place:$300-400,Hair dryer,0.7964601769911505
place:$300-400,Dishes and silverware,0.6460176991150443
place:$300-400,Kitchen,0.9646017699115044
place:$300-400,Dishwasher,0.5221238938053098
place:$300-400,Cooking basics,0.584070796460177
place:$300-400,Microwave,0.415929203539823
place:$300-400,High chair,0.19469026548672566
place:$300-400,Patio or balcony,0.48672566371681414
place:$300-400,Dedicated workspace,0.5752212389380531
place:$300-400,Wifi,0.8672566371681416
place:$300-400,Free parking on premises,0.911504424778761
place:$300-400,Shower gel,0.1504424778761062
place:$300-400,Crib,0.1592920353982301
place:$300-400,Private entrance,0.504424778761062
place:$300-400,Extra pillows and blankets,0.2831858407079646
place:$300-400,Luggage dropoff allowed,0.168141592920354
place:$300-400,Refrigerator,0.6017699115044248
place:$300-400,Carbon monoxide alarm,0.1592920353982301
place:$300-400,Long term stays allowed,0.8938053097345132
place:$300-400,Hot water,0.6991150442477876
place:$300-400,Bed linens,0.5132743362831859
place:$300-400,Bathtub,0.36283185840707965
place:$300-400,Iron,0.7345132743362832
place:$300-400,Children’s books and toys,0.26548672566371684
place:$300-400,Freezer,0.13274336283185842
place:$300-400,BBQ grill,0.22123893805309736
place:$300-400,Free street parking,0.18584070796460178
place:$300-400,Fire extinguisher,0.45132743362831856
place:$300-400,Washer,0.8672566371681416
place:$300-400,Hot tub,0.11504424778761062
place:$400-500,Heating,0.9615384615384616
place:$400-500,Essentials,0.9358974358974359
place:$400-500,TV,0.8717948717948718
place:$400-500,Stove,0.38461538461538464
place:$400-500,Children’s dinnerware,0.11538461538461539
place:$400-500,Fireplace guards,0.14102564102564102
place:$400-500,Smoke alarm,0.358974358974359
place:$400-500,Room-darkening shades,0.11538461538461539
place:$400-500,Garden or backyard,0.3076923076923077
place:$400-500,Barbecue utensils,0.10256410256410256
place:$400-500,Lockbox,0.16666666666666666
place:$400-500,Babysitter recommendations,0.10256410256410256
place:$400-500,Dryer,0.7692307692307693
place:$400-500,Oven,0.46153846153846156
place:$400-500,Coffee maker,0.38461538461538464
place:$400-500,Shampoo,0.41025641025641024
place:$400-500,Hangers,0.8717948717948718
place:$400-500,First aid kit,0.32051282051282054
place:$400-500,Hair dryer,0.717948717948718
place:$400-500,Dishes and silverware,0.46153846153846156
place:$400-500,Kitchen,0.9615384615384616
place:$400-500,Dishwasher,0.4230769230769231
place:$400-500,Cooking basics,0.44871794871794873
place:$400-500,Microwave,0.3076923076923077
place:$400-500,High chair,0.19230769230769232
place:$400-500,Patio or balcony,0.4230769230769231
place:$400-500,Dedicated workspace,0.6153846153846154
place:$400-500,Wifi,0.9230769230769231
place:$400-500,Free parking on premises,0.9358974358974359
place:$400-500,Crib,0.1282051282051282
place:$400-500,Private entrance,0.5128205128205128
place:$400-500,Extra pillows and blankets,0.21794871794871795
place:$400-500,Luggage dropoff allowed,0.20512820512820512
place:$400-500,Refrigerator,0.41025641025641024
place:$400-500,Carbon monoxide alarm,0.23076923076923078
place:$400-500,Long term stays allowed,0.8717948717948718
place:$400-500,Hot water,0.5
place:$400-500,Bed linens,0.28205128205128205
place:$400-500,Bathtub,0.20512820512820512
place:$400-500,Iron,0.7564102564102564
place:$400-500,Children’s books and toys,0.2692307692307692
place:$400-500,BBQ grill,0.24358974358974358
place:$400-500,Free street parking,0.15384615384615385
place:$400-500,Fire extinguisher,0.5897435897435898
place:$400-500,Washer,0.8717948717948718
place:$400-500,Hot tub,0.20512820512820512
Heating,room:$0-100,0.9203688181056161
Essentials,room:$0-100,0.9279128248113998
TV,room:$0-100,0.44341994970662196
Stove,room:$0-100,0.27912824811399833
Smoke alarm,room:$0-100,0.20536462699077954
Garden or backyard,room:$0-100,0.20368818105616093
Dryer,room:$0-100,0.509639564124057
Oven,room:$0-100,0.27829002514668905
Coffee maker,room:$0-100,0.31181894383906117
Shampoo,room:$0-100,0.5213746856663872
Hangers,room:$0-100,0.7468566638725901
First aid kit,room:$0-100,0.24559932942162616
Hair dryer,room:$0-100,0.6730930427493713
Dishes and silverware,room:$0-100,0.3864207879295893
Kitchen,room:$0-100,0.7736797988264879
Dishwasher,room:$0-100,0.2363788767812238
Cooking basics,room:$0-100,0.32187761944677284
Microwave,room:$0-100,0.26571668063704945
Patio or balcony,room:$0-100,0.24140821458507963
Dedicated workspace,room:$0-100,0.6160938809723386
Wifi,room:$0-100,0.9253981559094719
Free parking on premises,room:$0-100,0.4300083822296731
Private entrance,room:$0-100,0.14585079631181894
Extra pillows and blankets,room:$0-100,0.23973176865046103
Luggage dropoff allowed,room:$0-100,0.2355406538139145
Refrigerator,room:$0-100,0.3704945515507125
Long term stays allowed,room:$0-100,0.7678122380553227
Hot water,room:$0-100,0.625314333612741
Bed linens,room:$0-100,0.33864207879295893
Iron,room:$0-100,0.6068734283319362
Free street parking,room:$0-100,0.2330259849119866
Fire extinguisher,room:$0-100,0.30930427493713325
Washer,room:$0-100,0.6647108130762783
Heating,room:$100-200,0.9022988505747126
Essentials,room:$100-200,0.9425287356321839
TV,room:$100-200,0.6436781609195402
Stove,room:$100-200,0.1781609195402299
Smoke alarm,room:$100-200,0.43103448275862066
Pack ’n Play/travel crib,room:$100-200,0.1206896551724138
Garden or backyard,room:$100-200,0.1839080459770115
Dryer,room:$100-200,0.43103448275862066
Coffee maker,room:$100-200,0.25287356321839083
Shampoo,room:$100-200,0.7413793103448276
Hangers,room:$100-200,0.7298850574712644
First aid kit,room:$100-200,0.3103448275862069
Hair dryer,room:$100-200,0.7816091954022989
Dishes and silverware,room:$100-200,0.2413793103448276
Kitchen,room:$100-200,0.5
Cooking basics,room:$100-200,0.1896551724137931
Microwave,room:$100-200,0.14942528735632185
High chair,room:$100-200,0.13793103448275862
Patio or balcony,room:$100-200,0.1724137931034483
Dedicated workspace,room:$100-200,0.5517241379310345
Wifi,room:$100-200,0.9597701149425287
Free parking on premises,room:$100-200,0.5574712643678161
Crib,room:$100-200,0.11494252873563218
Private entrance,room:$100-200,0.20114942528735633
Extra pillows and blankets,room:$100-200,0.1896551724137931
Luggage dropoff allowed,room:$100-200,0.25862068965517243
Refrigerator,room:$100-200,0.21839080459770116
Carbon monoxide alarm,room:$100-200,0.13793103448275862
Long term stays allowed,room:$100-200,0.8160919540229885
Hot water,room:$100-200,0.4482758620689655
Bed linens,room:$100-200,0.26436781609195403
Iron,room:$100-200,0.5977011494252874
Children’s books and toys,room:$100-200,0.13218390804597702
Free street parking,room:$100-200,0.10919540229885058
Fire extinguisher,room:$100-200,0.5057471264367817
Washer,room:$100-200,0.4885057471264368
Heating,room:$200-300,0.8235294117647058
Essentials,room:$200-300,0.9117647058823529
TV,room:$200-300,0.6176470588235294
Stove,room:$200-300,0.20588235294117646
Ethernet connection,room:$200-300,0.11764705882352941
Smoke alarm,room:$200-300,0.38235294117647056
Garden or backyard,room:$200-300,0.2647058823529412
Dryer,room:$200-300,0.4117647058823529
Oven,room:$200-300,0.17647058823529413
Coffee maker,room:$200-300,0.2647058823529412
Shampoo,room:$200-300,0.6470588235294118
Hangers,room:$200-300,0.7058823529411765
First aid kit,room:$200-300,0.3235294117647059
Hair dryer,room:$200-300,0.7647058823529411
Dishes and silverware,room:$200-300,0.23529411764705882
Kitchen,room:$200-300,0.5588235294117647
Dishwasher,room:$200-300,0.17647058823529413
Cooking basics,room:$200-300,0.20588235294117646
Microwave,room:$200-300,0.11764705882352941
Patio or balcony,room:$200-300,0.23529411764705882
Dedicated workspace,room:$200-300,0.5294117647058824
Wifi,room:$200-300,0.9705882352941176
Free parking on premises,room:$200-300,0.5882352941176471
Pocket wifi,room:$200-300,0.11764705882352941
Crib,room:$200-300,0.17647058823529413
Private entrance,room:$200-300,0.17647058823529413
Luggage dropoff allowed,room:$200-300,0.14705882352941177
Refrigerator,room:$200-300,0.23529411764705882
Carbon monoxide alarm,room:$200-300,0.17647058823529413
Long term stays allowed,room:$200-300,0.7647058823529411
Hot water,room:$200-300,0.38235294117647056
Bed linens,room:$200-300,0.23529411764705882
Bathtub,room:$200-300,0.14705882352941177
Iron,room:$200-300,0.6470588235294118
Children’s books and toys,room:$200-300,0.14705882352941177
BBQ grill,room:$200-300,0.14705882352941177
Free street parking,room:$200-300,0.11764705882352941
Fire extinguisher,room:$200-300,0.5
Washer,room:$200-300,0.4411764705882353
Heating,room:$300-400,1.0
Essentials,room:$300-400,1.0
TV,room:$300-400,0.5
Smoke alarm,room:$300-400,0.25
Garden or backyard,room:$300-400,0.5
Dryer,room:$300-400,0.5
Coffee maker,room:$300-400,0.25
Shampoo,room:$300-400,1.0
Hangers,room:$300-400,1.0
First aid kit,room:$300-400,0.75
Hair dryer,room:$300-400,1.0
Dishes and silverware,room:$300-400,0.25
Kitchen,room:$300-400,0.25
Dedicated workspace,room:$300-400,0.75
Wifi,room:$300-400,1.0
Free parking on premises,room:$300-400,0.5
Pocket wifi,room:$300-400,0.25
Shower gel,room:$300-400,0.25
Private entrance,room:$300-400,0.75
Extra pillows and blankets,room:$300-400,0.5
Luggage dropoff allowed,room:$300-400,0.5
Refrigerator,room:$300-400,0.25
Long term stays allowed,room:$300-400,0.75
Hot water,room:$300-400,0.5
Bed linens,room:$300-400,0.5
Bathtub,room:$300-400,0.5
Iron,room:$300-400,1.0
Children’s books and toys,room:$300-400,0.25
Fire extinguisher,room:$300-400,0.5
Washer,room:$300-400,0.5
Heating,room:$400-500,1.0
Essentials,room:$400-500,0.6666666666666666
TV,room:$400-500,0.6666666666666666
Smoke alarm,room:$400-500,0.3333333333333333
Shampoo,room:$400-500,1.0
Hangers,room:$400-500,1.0
First aid kit,room:$400-500,0.6666666666666666
Hair dryer,room:$400-500,1.0
Kitchen,room:$400-500,0.3333333333333333
Dedicated workspace,room:$400-500,0.6666666666666666
Wifi,room:$400-500,1.0
Free parking on premises,room:$400-500,0.6666666666666666
Private entrance,room:$400-500,0.3333333333333333
Long term stays allowed,room:$400-500,1.0
Hot water,room:$400-500,0.3333333333333333
Iron,room:$400-500,0.6666666666666666
Fire extinguisher,room:$400-500,1.0
Washer,room:$400-500,0.6666666666666666
Hot tub,room:$400-500,0.6666666666666666
