source,target,value
 $ 0-100,Fire extinguisher,0.18681318681318682
 $ 0-100,Private entrance,0.31868131868131866
 $ 0-100,Shower gel,0.13406593406593406
 $ 0-100,Wifi,0.9186813186813186
 $ 0-100,Dedicated workspace,0.7296703296703296
 $ 0-100,Patio or balcony,0.3142857142857143
 $ 0-100,Cooking basics,0.5758241758241758
 $ 0-100,Microwave,0.2703296703296703
 $ 0-100,Dishes and silverware,0.6153846153846154
 $ 0-100,First aid kit,0.16703296703296702
 $ 0-100,Shampoo,0.5912087912087912
 $ 0-100,Smoke alarm,0.2549450549450549
 $ 0-100,Heating,0.9582417582417583
 $ 0-100,TV,0.6593406593406593
 $ 100-200,Fire extinguisher,0.2532467532467532
 $ 100-200,Free street parking,0.10822510822510822
 $ 100-200,Private entrance,0.30735930735930733
 $ 100-200,Shower gel,0.1406926406926407
 $ 100-200,Free parking on premises,0.10173160173160173
 $ 100-200,Wifi,0.9567099567099567
 $ 100-200,Dedicated workspace,0.8095238095238095
 $ 100-200,Patio or balcony,0.3528138528138528
 $ 100-200,Cooking basics,0.6017316017316018
 $ 100-200,Microwave,0.3484848484848485
 $ 100-200,Dishes and silverware,0.6406926406926406
 $ 100-200,First aid kit,0.20346320346320346
 $ 100-200,Shampoo,0.6861471861471862
 $ 100-200,Smoke alarm,0.3658008658008658
 $ 100-200,Heating,0.9826839826839827
 $ 100-200,TV,0.7705627705627706
 $ 200-300,Fire extinguisher,0.42857142857142855
 $ 200-300,Free street parking,0.10476190476190476
 $ 200-300,Bathtub,0.14285714285714285
 $ 200-300,Private entrance,0.26666666666666666
 $ 200-300,Shower gel,0.1523809523809524
 $ 200-300,Free parking on premises,0.19047619047619047
 $ 200-300,Wifi,0.9904761904761905
 $ 200-300,Dedicated workspace,0.9428571428571428
 $ 200-300,Patio or balcony,0.29523809523809524
 $ 200-300,Cooking basics,0.5904761904761905
 $ 200-300,Microwave,0.47619047619047616
 $ 200-300,Dishes and silverware,0.638095238095238
 $ 200-300,First aid kit,0.29523809523809524
 $ 200-300,Shampoo,0.819047619047619
 $ 200-300,Smoke alarm,0.5428571428571428
 $ 200-300,Heating,1.0
 $ 200-300,TV,0.8952380952380953
 $ 300-400,Fire extinguisher,0.3142857142857143
 $ 300-400,Bathtub,0.2
 $ 300-400,Private entrance,0.2571428571428571
 $ 300-400,Shower gel,0.2
 $ 300-400,Free parking on premises,0.22857142857142856
 $ 300-400,Wifi,0.9714285714285714
 $ 300-400,Dedicated workspace,0.8
 $ 300-400,Patio or balcony,0.34285714285714286
 $ 300-400,Cooking basics,0.6571428571428571
 $ 300-400,Microwave,0.5142857142857142
 $ 300-400,Dishes and silverware,0.6571428571428571
 $ 300-400,First aid kit,0.2857142857142857
 $ 300-400,Shampoo,0.8
 $ 300-400,Garden or backyard,0.11428571428571428
 $ 300-400,Smoke alarm,0.42857142857142855
 $ 300-400,Heating,0.9714285714285714
 $ 300-400,TV,0.8
 $ 400-500,Free parking on premises,0.11538461538461539
 $ 400-500,Wifi,1.0
 $ 400-500,Dedicated workspace,0.9615384615384616
 $ 400-500,Cooking basics,0.8461538461538461
 $ 400-500,Dishes and silverware,0.11538461538461539
 $ 400-500,Shampoo,0.28846153846153844
 $ 400-500,Smoke alarm,0.1346153846153846
 $ 400-500,Heating,1.0
 $ 400-500,TV,0.9423076923076923
Fire extinguisher,$ 0-100,0.21413721413721415
Free street parking,$ 0-100,0.10810810810810811
Shower gel,$ 0-100,0.1101871101871102
Free parking on premises,$ 0-100,0.1392931392931393
Wifi,$ 0-100,0.9147609147609148
Dedicated workspace,$ 0-100,0.6881496881496881
Patio or balcony,$ 0-100,0.28274428274428276
Cooking basics,$ 0-100,0.40332640332640335
Microwave,$ 0-100,0.24116424116424118
Dishes and silverware,$ 0-100,0.49272349272349275
First aid kit,$ 0-100,0.2785862785862786
Shampoo,$ 0-100,0.5758835758835759
Garden or backyard,$ 0-100,0.14553014553014554
Smoke alarm,$ 0-100,0.29313929313929316
Heating,$ 0-100,0.9625779625779626
TV,$ 0-100,0.3866943866943867
Fire extinguisher,$ 100-200,0.4519230769230769
Shower gel,$ 100-200,0.16346153846153846
Wifi,$ 100-200,0.9326923076923077
Dedicated workspace,$ 100-200,0.7211538461538461
Patio or balcony,$ 100-200,0.21153846153846154
Cooking basics,$ 100-200,0.17307692307692307
Microwave,$ 100-200,0.1346153846153846
Dishes and silverware,$ 100-200,0.2692307692307692
First aid kit,$ 100-200,0.34615384615384615
Shampoo,$ 100-200,0.7211538461538461
Smoke alarm,$ 100-200,0.46153846153846156
Heating,$ 100-200,0.8942307692307693
TV,$ 100-200,0.6153846153846154
Fire extinguisher,$ 200-300,0.55
Bathtub,$ 200-300,0.15
Private entrance,$ 200-300,0.2
Wifi,$ 200-300,0.9
Dedicated workspace,$ 200-300,0.4
First aid kit,$ 200-300,0.5
Shampoo,$ 200-300,0.65
Smoke alarm,$ 200-300,0.7
Heating,$ 200-300,0.9
TV,$ 200-300,0.85
Fire extinguisher,$ 300-400,0.6666666666666666
Wifi,$ 300-400,1.0
Dedicated workspace,$ 300-400,1.0
First aid kit,$ 300-400,1.0
Shampoo,$ 300-400,1.0
Smoke alarm,$ 300-400,0.6666666666666666
Heating,$ 300-400,1.0
TV,$ 300-400,1.0
Wifi,$ 400-500,1.0
Dedicated workspace,$ 400-500,0.5
